Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
12.568,0.0106528,-0.0458071,0.0138486,-121.074,1.02563,1.02563,0.0574617,-0.756579,9.63441,58.6062,71.1519,56.1539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
12.969,0.0117181,-0.0298279,0.00958753,-120.781,0.830276,1.02563,0.0287309,-0.742214,9.61047,58.9647,70.435,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13.37,0.00958753,-0.026632,0.00745696,-121.074,0.732605,1.31868,-0.00957695,-0.799676,9.58174,58.0685,71.3311,57.0178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13.771,0.0159792,-0.0362195,0.0117181,-123.712,0.927963,1.41637,0.0574617,-0.78531,9.60568,58.9647,71.1519,56.845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14.172,0.0053264,-0.0490029,0.0138486,-121.074,0.732605,1.02563,0.129289,-0.770945,9.60568,58.2478,72.9441,57.1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14.573,0.0127834,-0.0276973,0.00639168,-120.879,0.830276,1.22101,0.0957695,-0.804464,9.6009,58.427,71.3311,57.7089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
14.975,0.00745696,-0.0245015,0.0149139,-120.781,0.830276,1.02563,0.0143654,-0.818829,9.59611,59.3231,70.435,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
15.377,0.0106528,-0.0362195,0.0117181,-130.159,0.830276,1.22101,0.0766156,-0.780522,9.59132,58.2478,72.9441,57.5361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
15.779,0.0127834,-0.034089,0.0138486,-120.781,0.732605,1.02563,0.0478848,-0.737425,9.62484,58.0685,70.9727,57.0178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16.181,0.0170445,-0.0479376,0.0138486,-120.977,0.830276,1.31868,0.0622502,-0.742214,9.59132,56.9932,71.6896,55.9811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16.583,0.00745696,-0.0426112,0.0138486,-118.144,1.12332,1.02563,0.0718271,-0.737425,9.6009,57.5309,70.7934,58.5728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
16.985,0.0138486,-0.0234362,0.00639168,-120.977,1.02563,1.22101,0.0574617,-0.770945,9.56738,58.9647,71.1519,57.1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
17.387,0.0159792,-0.0330237,0.0117181,-130.842,0.830276,1.12332,0.0622502,-0.775733,9.60568,57.8893,72.5857,58.2273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
17.789,0.00745696,-0.0351543,0.0138486,-130.159,1.02563,1.22101,0.0430963,-0.742214,9.61526,57.5309,71.1519,56.1539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
18.191,0.0149139,-0.0404807,0.0117181,-121.074,1.02563,1.31868,0.0670387,-0.770945,9.58174,57.7101,71.3311,57.3634,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
