Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
58.536,1.54,25.13,14.84,-199.805,0.341873,0.927963,0.01098,0.155184,1.59722,0.01682,-0.07714,0.08526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59.536,2.17,23.66,14.56,-199.902,0.341873,0.927963,0.013176,0.155184,1.59649,0.01682,-0.07946,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60.536,1.96,24.71,13.93,-199.805,0.341873,0.830276,0.013908,0.15372,1.59576,0.01624,-0.07656,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61.536,2.31,24.01,14.14,-199.902,0.341873,0.830276,0.01098,0.154452,1.59356,0.0174,-0.0754,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62.536,2.31,24.22,14.07,-199.902,0.43956,0.830276,0.011712,0.15372,1.59576,0.01276,-0.0696,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63.536,1.96,24.71,14.56,-199.902,0.43956,0.830276,0.011712,0.154452,1.59869,0.01624,-0.07656,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64.536,3.15,25.41,14.56,-199.902,0.341873,0.732605,0.010248,0.156648,1.59796,0.01914,-0.0783,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65.536,2.45,23.94,14,-199.902,0.43956,1.02563,0.013908,0.156648,1.60088,0.01682,-0.07482,0.08178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66.536,2.52,23.73,14.77,-199.805,0.43956,0.732605,0.012444,0.156648,1.60162,0.0174,-0.0754,0.07888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67.536,2.52,23.87,13.86,-199.902,0.634918,0.830276,0.009516,0.15372,1.59796,0.0174,-0.07888,0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68.536,2.03,25.41,14.21,-199.902,0.43956,0.830276,0.01098,0.158112,1.59503,0.0145,-0.07366,0.08294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69.536,1.96,24.15,14.28,-199.902,0.634918,0.732605,0.013908,0.152988,1.59503,0.02088,-0.07772,0.08468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70.536,3.43,25.27,15.05,-199.902,0.244202,0.927963,0.008784,0.156648,1.59869,0.0174,-0.07888,0.08352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71.536,2.52,23.87,14.21,-199.902,0.537247,0.830276,0.012444,0.152988,1.59722,0.0145,-0.07714,0.08062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72.536,2.73,24.36,14.35,-199.902,0.732605,0.537247,0.009516,0.15738,1.59283,0.01276,-0.07656,0.08236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
